"publication_ID","relatedItem_1_titleInfo_title","identifier_#text","state","year","volume","number","titleInfo_title"
"1385326501","ATA Minutes","bta_1385326501_OK","OK",,,,"Business Council"
"1382582228","ATA Minutes","bta_1382582228_OK","OK",,,,"Executive Council"
"44212019","Alabama State Teachers Association Journal","bta_44212019_AL_1965_006_005","AL","1965","006","005","Vol. 6, No.5"
"44212019","Alabama State Teachers Association Journal","bta_44212019_AL_1962_004_003","AL","1962","004","003","Vol. 4, No. 3"
"44212019","Alabama State Teachers Association Journal","bta_44212019_AL_1964_006_003","AL","1964","006","003","Vol. 6, No. 3"
"44212019","Alabama State Teachers Association Journal","bta_44212019_AL_1962_004_004","AL","1962","004","004","Vol. 4, No. 4"
"44212019","Alabama State Teachers Association Journal","bta_44212019_AL_1964_006_004","AL","1964","006","004","Vol. 6, No. 4"
"44212019","Alabama State Teachers Association Journal","bta_44212019_AL_1963_005_001","AL","1963","005","001","Vol. 5, No. 1"
"44212019","Alabama State Teachers Association Journal","bta_44212019_AL_1965_006_004","AL","1965","006","004","Vol. 6, No. 4"
"44212019","Alabama State Teachers Association Journal","bta_44212019_AL_1961_004_001","AL","1961","004","001","Vol. 4, No. 1"
"44212019","Alabama State Teachers Association Journal","bta_44212019_AL_1963_006_001","AL","1963","006","001","Vol. 6, No. 1"
"44212019","Alabama State Teachers Association Journal","bta_44212019_AL_1965_006_006","AL","1965","006","006","Vol. 6, No. 6"
"44212019","Alabama State Teachers Association Journal","bta_44212019_AL_1959_001_001","AL","1959","001","001","Vol. 1, No. 1"
"1294512530","Bulletin of the West Virginia Teachers' Association","bta_1294512530_WV_1940_011_001","WV","1940","011","001","Vol. 11, No. 1"
,"Washingon, D.C. Publications",,,,,,"Constitution of the Columbian Education Association"
,"The Teachers' Bulletin",,,,,,"Vol. 1, No. 2"
,"The Teachers' Bulletin",,,,,,"Vol. 1, No. 1"
"911269366","Annual Convention Program","bta_911269366_SC_48","SC","48",,,"Vol.48"
,"Annual Convention Program",,,,,,"Vol. 49"
,"Annual Convention Program",,,,,,"Vol.36"
,"Annual Convention Program",,,,,,"Vol.40"
"911269366","Annual Convention Program","bta_911269366_SC","SC",,,,"Vol.31"
,"PEA Journal",,,,,,"Vol.17, No.7"
"38064860","PEA Journal","bta_38064860_SC_1964_15_01","SC","1964","15","01","Vol.15, No.1"
